"Issue ID","Issue Type","Summary","Labels","Start Date","Due Date","Sprint","Parent ID","Description"
"PD-011","Story","Demo-ready sim data creation (sites, contracts, capacity sources, REC targets, LMP basis bands)","planning-module, demo-blocker, pre-demo, sim-data","2026-05-13","2026-05-22","Demo Prep 1","","Lock the demo dataset as well-structured TypeScript constants under src/data/. Replaces the live Profiling → Planning data interface for the demo period — the Planning Module reads these fixtures directly with no API calls or backend dependency. Trade-off: predictability and demo-day stability over real-data realism, with the live integration deferred to post-demo.

Coverage:
- 3 DOM sites (Ashburn / Manassas / Sterling) with full profile: capacity, baseload, peak shape, location, settlement zone, LMP pnode, gen type, REC target %
- Documented capacity expansions per site (CapacityByYear: Ashburn 50 → 65 → 80, Sterling 75 → 100)
- Documented load adjustments per site (LoadAdjustments: Manassas +25% from Jul 2027)
- Linked supply contracts with full granularity (LinkedContract: term, shape, tier, pattern, perSiteMw)
- Linked capacity sources (LINKED_CAPACITY_SOURCES: per-site BRA pass-through MW)
- LMP basis bands per zone per month (LMP_PERIODS)
- Site financials (utility tariff $/MWh, PPA strike, unhedged contract type)

ACCEPTANCE CRITERIA:
- [ ] All fixture files in src/data/ updated with the locked demo storyline
- [ ] TypeScript types document the schema so the eventual live data shape matches
- [ ] Storyline approved by SME / mentor panel
- [ ] Demo script written referencing concrete numbers from the sim data
- [ ] TypeScript compilation passes; charts and Risk Report render the full storyline end-to-end"
"PD-012","Story","Generalised Module Coming Soon popup with completion dates","planning-module, demo-blocker, pre-demo, ux","2026-05-15","2026-05-17","Demo Prep 1","","Generalise ComingSoonDialog into a top-level ModuleHandoffDialog component with: Module name (Contracting / RECs v2 / BRA Feed / Planning v2), completion target, sub-line, payload preview. Apply to every feature that crosses an unfinished module boundary.

ACCEPTANCE CRITERIA:
- [ ] ModuleHandoffDialog component lives in components/
- [ ] Completion-date strings centralised in single config object
- [ ] Wired to: Solicit RFQ, View BRA History, Examine Fit, RECs CTA, 8-slider header, Accept-Transaction button
- [ ] What's in this module? expand link with 1-paragraph summary per kind"
"PD-013","Story","RECs sub-tab MVP — target % + coverage gap per site","planning-module, demo-blocker, pre-demo, recs","2026-05-22","2026-05-24","Demo Prep 2","","Ship MVP view for the RECs sub-tab on Plan, Map, Evaluate: per-site REC target %, current REC coverage %, coverage gap MWh, annual ESG cost. Ensure schema supports these UI elements.

ACCEPTANCE CRITERIA:
- [ ] RECsTab component built with SummaryCard layout
- [ ] Per-site RECs Position card mirrors Contracted Position structure
- [ ] Coverage gap shows as % below 100 with Solicit RFQ affordance → popup
- [ ] Plan→RECs and Map→RECs render real content"
"PD-014","Story","Map — accepted-transaction site overlay (connector lines)","planning-module, demo-blocker, pre-demo, map","2026-05-24","2026-05-25","Demo Prep 3","","Draw connector from each contracted project pin to the buyer site(s) it hedges (one connector per perSiteMw entry). Hover popup shows project, MW, term, shape.

ACCEPTANCE CRITERIA:
- [ ] Connectors render as MapLibre GL line layer
- [ ] Line colour matches contract's gen-type pin colour
- [ ] Out-of-scope contracts faded
- [ ] Popup on connector hover with full transaction detail"
"PD-015","Story","Energy page — per-site condensed transaction summary strip","planning-module, demo-blocker, pre-demo, ux","2026-05-25","2026-05-26","Demo Prep 3","","Per-site row strip between KPI strip and load chart on Plan→Energy. One line per accepted transaction: project · MW · shape · term. Lets user read off what is hedging this site without expanding any panel.

ACCEPTANCE CRITERIA:
- [ ] One row per selected site, ordered by site name
- [ ] Each transaction renders: project · MW · shape · start–end
- [ ] Out-of-term transactions for active year fade
- [ ] Total contracted MW vs site capacity at right"
"PD-016","Story","Risk Report Capacity sub-tab — fill in the headline panels","planning-module, demo-blocker, pre-demo, risk-report","2026-05-26","2026-05-28","Demo Prep 3","","Build out the scaffolded Capacity sub-tab on Risk Report: Capacity-cost summary card, BRA volatility band, and Fixed-term-vs-pass-through comparison. Wire UI to consume these metrics.

ACCEPTANCE CRITERIA:
- [ ] CapacityRiskTab renders alongside universal summary cards
- [ ] At least 3 numbers per selected site (cleared MW, cost, P10–P90 spread)
- [ ] BRA history button still routes to ModuleHandoffDialog"
"PD-017","Story","Examine Fit ribbon → Contracting popup (handoff stub finalised)","planning-module, pre-demo, contracting-handoff","2026-05-27","2026-05-28","Demo Prep 3","","Wire Examine Fit primary CTA to ModuleHandoffDialog with the contracting handoff payload schema documented and visible on hover. Ensures Planning Module formats data correctly for Contracting.

ACCEPTANCE CRITERIA:
- [ ] Examine Fit primary button opens ModuleHandoffDialog kind=contracting
- [ ] Payload schema in shared constants file
- [ ] Hover state on button shows payload preview for SME walkthrough"
"PD-018","Story","Demo data sweep — finalise synthetic scenarios","planning-module, pre-demo, demo-data","2026-05-28","2026-05-30","Demo Prep 3","","Lock the demo dataset post-Profiling-handoff in the database. Ensure the Planning Module renders the exact storyline required for the presentation.

ACCEPTANCE CRITERIA:
- [ ] Storyline approved by SME / mentor panel
- [ ] Same data renders identically before and after migration
- [ ] Demo script written referencing concrete numbers"
"PD-019","Story","Pre-demo regression sweep + dry runs","planning-module, pre-demo, qa","2026-05-29","2026-05-31","Demo Prep 3","","Smoke-test full Planning Module against the locked sim data fixtures (PD-128): scope changes, year tabs, site (de)selection, contract term boundaries, mid-year bump, capacity step-ups, over-hedge rendering, every Module-Coming-Soon popup fires correctly. Two clean dry-runs the week of demo.

ACCEPTANCE CRITERIA:
- [ ] Smoke checklist passes on staging with sim data
- [ ] No console errors during 10-min walk-through
- [ ] Two clean dry-runs completed
- [ ] Mobile / projector resolution verified"
"PD-020","Story","DEMO DAY — Power Dime Planning Module","planning-module, demo-day, milestone","2026-06-02","2026-06-02","June 2026","","Live demo to mentor panel + president. Walk Pillars 1, 2, 3 in order using the locked demo dataset. Demonstrate: scope/duration control, 4D math through year tabs, Map filter + accepted-transaction overlay, Risk Report P10/P50/P90, Solicit RFQ → completion-date popup.

ACCEPTANCE CRITERIA:
- [ ] Demo runs without console errors
- [ ] All popups fire as expected on stub paths
- [ ] Q&A captured for post-demo backlog"
"PD-021","Story","Phase 1 retro + Phase 2 sprint kickoff","planning-module, milestone","2026-06-03","2026-06-04","June 2026","","Retrospective on Phase 1 delivery. Capture demo-day Q&A. Prioritise the Commercial 1.0 backlog into a Phase 2 sprint plan. Roadmap update.

ACCEPTANCE CRITERIA:
- [ ] Retro notes captured
- [ ] Demo Q&A logged and triaged
- [ ] Phase 2 sprint plan drafted
- [ ] Roadmap doc updated"
"PD-022","Story","Phase 2 kickoff + Commercial 1.0 sprint planning","planning-module, post-demo, milestone","2026-06-05","2026-06-12","June 2026","","Decompose Commercial 1.0 backlog into 2-week sprints through end of year. Confirm vendor selections (3-ISO data feed, monitoring stack, ML runtime). Resourcing plan if additional engineers needed.

ACCEPTANCE CRITERIA:
- [ ] Sprint plan locked through Sep 30
- [ ] Vendor decisions captured (3-ISO data, monitoring, ML)
- [ ] Hiring plan if applicable"
"PD-023","Story","DB Foundation schema (sites, contracts, site_financials)","planning-module, post-demo, db-architecture","2026-06-08","2026-06-15","June 2026","","Define Supabase tables and RLS policies for the Profiling → Planning handoff: sites (capacity, baseload, peak shape ref, location, settlement zone, LMP pnode, gen type, REC target %), supply_contracts (full granularity: project_name, gen_type, mw_covered, shape, tier, pattern, start_year/month, end_year/month, perSiteMw allocation), and site_financials (utility tariff $/MWh, ppa strike, unhedged contract type).

ACCEPTANCE CRITERIA:
- [ ] Schema migration files written (supabase/migrations/)
- [ ] RLS policies: buyer can only see their own sites + contracts
- [ ] Indexes on (buyer_id), (site_key), (project_name)
- [ ] Seed data inserts for the 3 demo sites + their contracts
- [ ] Migration runs cleanly on a fresh DB"
"PD-024","Story","Contracting Module schema alignment","contracting-module, post-demo, contracting-handoff","2026-06-08","2026-06-26","June 2026","","Joint design session with Contracting team to lock the schema for the Planning ↔ Contracting handoffs (RFQ payload, accepted-transaction back-fill). Documented payload contracts for: Solicit RFQ, Examine Fit, Accept Transaction.

ACCEPTANCE CRITERIA:
- [ ] Payload schemas approved by both teams
- [ ] Schema doc committed to shared repo
- [ ] Mock receivers built so Planning Module can be tested end-to-end before Contracting backend is live"
"PD-025","Story","Backend API v1 — sites + contracts + site_financials endpoints","planning-module, post-demo, api","2026-06-15","2026-07-03","June 2026","","REST endpoints under /api/sites, /api/contracts, /api/site-financials. Auth via existing Supabase JWT. Response shapes match the canned-data shapes locked by PD-128 so the chart / Risk Report code doesn't change at the call sites when the live path lands.

ACCEPTANCE CRITERIA:
- [ ] GET /api/sites — returns array of SiteLoadProfile-compatible objects
- [ ] GET /api/contracts?siteKeys=... — returns LinkedContract objects
- [ ] GET /api/site-financials — returns SiteFinancials objects
- [ ] All endpoints respect RLS (buyer_id from JWT)
- [ ] OpenAPI spec generated and committed
- [ ] Response shapes byte-compatible with PD-128 sim-data fixtures"
"PD-026","Story","Universal 3-ISO Database Schema Design (PJM, MISO, ERCOT)","data-architecture, schema, post-demo","2026-06-15","2026-06-30","June 2026","","Design a normalized database schema capable of handling data from PJM, MISO, and ERCOT — the three ISOs targeted for Commercial v1.0. Must standardize node naming, time intervals, price (DA/RT), load, outages, and constraints into unified tables. Schema designed to extend cleanly to CAISO/SPP/NYISO/ISONE in v1.1.

ACCEPTANCE CRITERIA:
- [ ] Normalized tables designed for iso_prices, iso_load, iso_outages, iso_constraints
- [ ] Mapping table created to translate native ISO node IDs (PJM pnodes, MISO CPNodes, ERCOT settlement points) to internal system IDs
- [ ] Schema review completed with engineering team
- [ ] Migrations written and applied to staging
- [ ] Extension path documented for adding additional ISOs in v1.1"
"PD-027","Story","Macro Commodity & Basis Schema Design","data-architecture, schema, post-demo","2026-06-15","2026-06-30","June 2026","","Design the schema to store forward and historical market prices for macro commodities. Includes Natural Gas (Henry Hub), Western Hub (Power), MISO Indiana Hub, ERCOT North Hub, and regional basis hubs.

ACCEPTANCE CRITERIA:
- [ ] Tables designed for macro_prices (historical) and macro_forwards
- [ ] Support for multiple commodities (NG, Power) and pricing hubs across PJM/MISO/ERCOT
- [ ] Schema handles daily/monthly forward curve snapshots
- [ ] Migrations written and applied to staging"
"PD-028","Story","3-ISO Data Feed Vendor Selection & API Auth (PJM, MISO, ERCOT)","data-feed, post-demo","2026-06-15","2026-06-30","June 2026","","Evaluate and select a unified data vendor (e.g., Yes Energy, Velocity Suite) vs. building 3 direct ISO API connectors. Secure API credentials and establish rate-limit strategies for PJM, MISO, and ERCOT.

ACCEPTANCE CRITERIA:
- [ ] Vendor evaluation matrix completed (Cost vs. Integration effort, all 3 ISOs covered)
- [ ] Decision memo finalized and contract signed
- [ ] API credentials provisioned in dev + staging for PJM, MISO, ERCOT
- [ ] Test queries successfully executed against vendor API for each ISO"
"PD-029","Story","Background job infrastructure (queue + workers)","planning-module, post-demo, infrastructure","2026-06-15","2026-07-15","June 2026","","Stand up async job runner to orchestrate external math engines and data feeds: ML simulations, ingestion pipelines (3-ISO data, RECs, metered), historical backfill jobs, reconciliation jobs.

ACCEPTANCE CRITERIA:
- [ ] Worker service deployed with auto-scaling
- [ ] Job framework with typed payloads
- [ ] Retry + DLQ + alerting on stuck jobs
- [ ] First job (LMP ingestion smoke) running on staging"
"PD-030","Story","Integrate Contracting Module — RFQ Builder handoff","contracting-module, post-demo, commercial-1.0","2026-07-01","2026-08-15","July 2026","","Ensure the Planning Module correctly structures and dispatches data to the Contracting Module's RFQ Builder. Pre-fills RFQ requirements from user's scope, duration, risk tolerances.

ACCEPTANCE CRITERIA:
- [ ] RFQ schema matches Planning's handoff payload
- [ ] Builder UI lets buyer review + edit auto-drafted requirements
- [ ] Targeted provider list selectable / editable
- [ ] Solicit creates a Transaction record in pending state"
"PD-031","Story","Ingestion Pipeline: 3-ISO Price & Load Data (Live)","data-ingestion, post-demo","2026-07-01","2026-08-15","July 2026","","Build the live ingestion pipeline to pull Day-Ahead (DA) / Real-Time (RT) prices and load data (forecast/actual) across PJM, MISO, and ERCOT. Continuous polling on schedules appropriate to each ISO; rolling 30-day window maintained.

ACCEPTANCE CRITERIA:
- [ ] Ingestion jobs configured for DA/RT prices across PJM, MISO, ERCOT
- [ ] Ingestion jobs configured for Load data (forecast + actual) across all 3 ISOs
- [ ] Data correctly normalizes into the universal iso_prices and iso_load tables
- [ ] Schema-drift detection and gap-fill logic implemented
- [ ] Per-ISO timezone + DST handling validated"
"PD-032","Story","Auth + Supabase RLS hardening across Planning surfaces","planning-module, post-demo, security","2026-07-01","2026-08-15","July 2026","","Audit every Planning page for proper auth + row-level scope. Pen-test: buyer A cannot see buyer B's data via URL manipulation. Service-role usage limited to backend-only.

ACCEPTANCE CRITERIA:
- [ ] RLS policies on every Planning-relevant table
- [ ] Service-role usage limited to backend
- [ ] Penetration test: buyer-impersonation attempts blocked
- [ ] Auth token refresh handled gracefully"
"PD-033","Story","Profiling Module → Planning Module data interface (live)","planning-module, post-demo, profiling-handoff","2026-07-06","2026-07-24","July 2026","","Replace fixture imports (PD-128 sim data) with live API reads from Backend API v1 (PD-014). Ensure the Planning Module correctly consumes data written by the Onboarding form. Demo-mode feature flag (PD-013) provides fallback to the fixture path during cutover and as ongoing demo-day insurance.

ACCEPTANCE CRITERIA:
- [ ] Frontend hooks (useSites, useContracts) replace fixture imports
- [ ] All chart math + Risk Report verified against live data (numerically identical to fixture path within rounding)
- [ ] Onboarding form writes through to the same Supabase tables
- [ ] Demo-mode flag (PD-013) preserves fixture path as safety net
- [ ] Manassas / Ashburn / Sterling demo storyline lives in DB, not in code"
"PD-034","Story","Historical Backfill: 3-ISO Price & Load (5 years)","data-ingestion, post-demo, historical-backfill","2026-07-13","2026-08-31","July 2026","","Backfill 5 years of historical PJM, MISO, and ERCOT DA + RT prices and load. Powers historical basis distributions used by the ML simulator. Runs as one-time job batches per ISO + reconciliation pass to confirm coverage.

ACCEPTANCE CRITERIA:
- [ ] 5-year coverage for all in-use pnodes / CPNodes / settlement points
- [ ] Reconciliation report: gaps documented or filled per ISO
- [ ] Historical basis P10/P50/P90 distributions computed per ISO
- [ ] ML can read historical bands per pricing point
- [ ] Backfill jobs are resumable (no need to restart from zero on failure)"
"PD-035","Story","BRA forward forecast model — data integration","planning-module, post-demo, data-feed, forward-curve","2026-07-13","2026-08-31","July 2026","","Internal forward forecast model for BRA clearing prices per zone per delivery year. Outputs P10/P50/P90 bands consumable by the Capacity Risk view. Combines historical clearings, supply/demand projections, and external forward markers.

ACCEPTANCE CRITERIA:
- [ ] Forecast methodology documented
- [ ] Model outputs successfully write to bra_forward table
- [ ] Capacity Risk panel reads forward bands
- [ ] Backtest report: forecast vs. actual on prior 3 delivery years"
"PD-036","Story","Ingestion Pipeline: 3-ISO Outage & Constraint Data","data-ingestion, post-demo","2026-07-15","2026-08-31","July 2026","","Build the ingestion pipeline to pull generation/transmission outages and binding constraints across PJM, MISO, and ERCOT. Store in normalized schema for UI and math engine consumption.

ACCEPTANCE CRITERIA:
- [ ] Ingestion jobs configured for Outages (planned/unplanned) across 3 ISOs
- [ ] Ingestion jobs configured for Constraints (congestion points) across 3 ISOs
- [ ] Data correctly normalizes into iso_outages and iso_constraints
- [ ] Alerting configured for pipeline failures"
"PD-037","Story","Ingestion Pipeline: Macro Commodity & Basis (HH, Western Hub, Indiana Hub, ERCOT North)","data-ingestion, post-demo","2026-07-15","2026-08-31","July 2026","","Build the ingestion pipeline to pull historical and forward curves for Henry Hub (NG), Western Hub (Power, PJM), Indiana Hub (Power, MISO), ERCOT North Hub (Power), and regional basis hubs.

ACCEPTANCE CRITERIA:
- [ ] Ingestion jobs configured for Henry Hub, Western Hub, Indiana Hub, ERCOT North
- [ ] Ingestion jobs configured for regional basis hubs across PJM/MISO/ERCOT
- [ ] Data normalizes into macro_prices and macro_forwards tables
- [ ] Daily curve snapshots successfully stored and versioned"
"PD-038","Story","Data Quality & Validation Framework","data-architecture, post-demo, data-quality","2026-07-15","2026-08-15","July 2026","","Cross-cutting framework to validate ingested data against expected shape, units, timezone, and continuity. Three ISOs with different schemas means schema-drift, unit mismatches (kW vs MW, MWh vs GWh), and timezone bugs are inevitable. Dedicated framework saves debugging time and gives ops a consistent surface for data-issue triage.

ACCEPTANCE CRITERIA:
- [ ] Validator interface with rules: timestamp continuity, unit consistency, sign convention, value bounds
- [ ] Per-source rule sets (PJM, MISO, ERCOT each have their quirks)
- [ ] Validation runs as part of every ingestion job
- [ ] Failures surface in the feed-health dashboard with actionable detail
- [ ] Documented runbook for the top 5 expected validation failures"
"PD-039","Story","Site metered interval data — ingestion pipeline (design + build)","planning-module, post-demo, data-feed, data-ingestion","2026-07-15","2026-08-31","July 2026","","Build the ingestion path for buyer-supplied 15-min interval metered data, populating site_metered. Sources: utility EDI feeds, customer CSV uploads, direct meter pulls.

ACCEPTANCE CRITERIA:
- [ ] Ingestion job per source type
- [ ] Validation: timestamp continuity, unit consistency, sign convention
- [ ] Gap-fill strategy for short outages (interpolation) vs. long (flag)
- [ ] Onboarding flow can trigger initial ingestion + first refresh"
"PD-040","Story","Demo-mode feature flag (live-data + fixture both available)","planning-module, post-demo, infrastructure","2026-07-27","2026-07-31","July 2026","","Feature flag (env var or settings toggle) that lets the app fall back to the existing fixtures if the live data path is unavailable, so a demo disaster (network outage, bad migration) doesn't kill the demo.

ACCEPTANCE CRITERIA:
- [ ] VITE_DATA_MODE env var: live | fixture
- [ ] data hooks branch on this flag
- [ ] Fixture path retained even after Profiling handoff lands
- [ ] Toggle accessible via /admin/debug page (dev-only)"
"PD-041","Story","UI Integration: 3-ISO Map Overlay & Macro Price References","planning-module, ui, post-demo","2026-08-01","2026-09-15","August 2026","","Update the Planning Module UI and MapLibre layers to support PJM, MISO, and ERCOT footprints. Wire the Risk Report to reference NG (Henry Hub) and zonal Power hubs (Western Hub for PJM, Indiana Hub for MISO, ERCOT North for ERCOT) as macro context.

ACCEPTANCE CRITERIA:
- [ ] Map layer toggles support PJM, MISO, ERCOT
- [ ] Site pins correctly associate with their respective ISO zones
- [ ] Risk Report UI displays macro context (HH + appropriate Power hub) per site
- [ ] UI gracefully handles switching between sites in different ISOs"
"PD-042","Story","Contracting Module — Transaction state machine integration","contracting-module, post-demo, commercial-1.0","2026-08-16","2026-09-30","August 2026","","Wire the Planning Module to react to the Contracting Module's Transaction state machine (Pending → Accepted). On accept, transaction is back-fed to Planning so it appears in load chart, Risk Report, Map.

ACCEPTANCE CRITERIA:
- [ ] State diagram + DB schema agreed
- [ ] Accept-transaction button on Risk Report → state machine
- [ ] Planning Module hot-reloads when a transaction lands
- [ ] Audit log of state transitions per transaction"
"PD-043","Story","Historical BRA backfill (10 years)","planning-module, post-demo, historical-backfill","2026-08-16","2026-09-15","August 2026","","Backfill 10 years of historical BRA clearing data per zone per delivery year. Powers the historical comparison band on the Capacity Risk panel.

ACCEPTANCE CRITERIA:
- [ ] 10-year coverage per zone
- [ ] Capacity Risk panel renders historical envelope
- [ ] Reconciliation report: any documented zone splits / mergers handled"
"PD-044","Story","Orchestrate stochastic ML simulation data pipeline","planning-module, post-demo, commercial-1.0, risk-engine","2026-09-01","2026-09-30","September 2026","","Build the backend infrastructure to trigger the external ML engine, cache the resulting probabilistic bands, and wire the Risk Report UI to render them dynamically.

ACCEPTANCE CRITERIA:
- [ ] Simulation service triggered via background job
- [ ] Results cached per (scope, scenario-set, contract-stack-hash)
- [ ] Risk Report renders bands within 500 ms of scope change
- [ ] Job runs on background-job infra; not blocking the API"
"PD-045","Story","Expand Risk Report UI and schema for 8 risk dimensions","planning-module, post-demo, commercial-1.0, risk-engine","2026-09-01","2026-10-15","September 2026","","Update the database schema and UI decomposition table to consume and display all 8 risk dimensions generated by the math engine (including Long-Term Market Risk, Execution Risk, Counterparty Risk).

ACCEPTANCE CRITERIA:
- [ ] All 8 rows in risk decomposition populated with real numbers
- [ ] P10/P50/P90 bands per row rendered from ML outputs
- [ ] Risks 4–8 coming next release footer removed"
"PD-046","Story","REC tracking system feeds — PJM-GATS, M-RETS, ERCOT","planning-module, post-demo, data-feed, data-ingestion, recs","2026-09-01","2026-09-30","September 2026","","Ingestion pipeline for REC tracking systems matching the v1.0 ISO scope: PJM-GATS (PJM), M-RETS (MISO), and ERCOT REC (ERCOT). Pulls certificate inventory, retirement events, and vintage-year allocations into recs_ledger.

ACCEPTANCE CRITERIA:
- [ ] PJM-GATS adaptor (primary, drives DOM-zone demo sites)
- [ ] M-RETS adaptor (MISO sites)
- [ ] ERCOT REC adaptor (ERCOT sites)
- [ ] recs_ledger reads drive RECs sub-tab live
- [ ] Extension hooks documented for NEPOOL-GIS / WREGIS in v1.1"
"PD-047","Story","Historical site metered backfill (3 years)","planning-module, post-demo, historical-backfill","2026-09-01","2026-09-30","September 2026","","Backfill 3 years of 15-min metered data per site (where available). Populates the historical load distribution used to validate forecast shape and detect anomalies.

ACCEPTANCE CRITERIA:
- [ ] 3-year coverage where data is available; gaps documented
- [ ] Comparison report: live forecast vs. historical shape
- [ ] Anomaly detection job runs nightly against the backfill"
"PD-048","Story","Migrate tariff link store from localStorage to Supabase","planning-module, post-demo, commercial-1.0","2026-09-08","2026-09-22","September 2026","","Migrate site→tariff-document links from localStorage to Supabase so links survive across devices and team members. Same for transactionAllocations.ts.

ACCEPTANCE CRITERIA:
- [ ] Schema: site_tariff_links (site_key, plan_id, linked_at, linked_by)
- [ ] Read/write hook replaces localStorage helpers
- [ ] Existing localStorage data migrated on first load
- [ ] RLS: only buyer's own site links readable"
"PD-049","Story","Live monitoring — feed health dashboard","planning-module, post-demo, monitoring, observability","2026-09-15","2026-10-15","September 2026","","Operations dashboard showing real-time health of every live feed: 3-ISO price & load, 3-ISO outage & constraint, BRA forward, REC tracking systems, site metered, macro commodities. Per feed: last-successful-pull timestamp, lag vs. expected, schema drift indicators.

ACCEPTANCE CRITERIA:
- [ ] Dashboard page (admin-only) showing all feeds
- [ ] Per-feed: last-pull, lag, gap count, schema-version
- [ ] Public status page (status.powerdime.com or similar)
- [ ] Daily ops review readout uses this dashboard"
"PD-050","Story","Risk Preference Slider UX Research","planning-module, post-demo, ux-research","2026-09-15","2026-09-30","September 2026","","User-research to lock the UX of the 8-dimension Risk Preference inputs before implementation. Test slider vs. numeric vs. tier (Required / Preferred / Neutral / Avoid / Refuse). Validate label clarity for each of the 8 risk dimensions with target-buyer interviews.

ACCEPTANCE CRITERIA:
- [ ] 5–7 target-buyer user interviews completed
- [ ] Slider vs. numeric vs. tier decision documented with rationale
- [ ] Final label + tooltip copy approved by SME
- [ ] Wireframes ready as input to the implementation ticket"
